Date,User,Duration,Project,Activity,Description
"2025-07-04","Unknown","0.50","","","StartHub | FTE Engineering Team Sync Up"
"2025-07-03","Unknown","8.00","","","Refactor booking page (1-on-1 coaching)"
"2025-07-03","Unknown","0.50","","","StartHub | FTE Engineering Team Sync Up"
"2025-07-03","Unknown","3.50","","","reviewed hamins scenarios"
"2025-07-03","Unknown","0.50","","","Addy"
"2025-07-02","Unknown","8.00","","","Refactor booking page (1-on-1 coaching)"
"2025-07-02","Unknown","0.50","","","StartHub | FTE Engineering Team Sync Up"
"2025-07-02","Unknown","5.50","","","Worked on the new variation for card ratio; Created a new variation of filters for Booking. Worked on the avatar component (helped Pauline). Created variations for booking mentor's time slots."
"2025-07-02","Unknown","0.50","","","Meeting with Pauline"
"2025-07-01","Unknown","8.00","","","Refactor booking page (1-on-1 coaching)"
"2025-07-01","Unknown","0.75","","","Design sync up"
"2025-07-01","Unknown","0.50","","","StartHub | FTE Engineering Team Sync Up"
"2025-07-01","Unknown","0.50","","","StartHub | FTE Engineering Team Sync Up"
"2025-07-01","Unknown","4.25","","","Landing. Implemented changes on the Landing page; Graphics booklet and couple on the Booking."
"2025-06-30","Unknown","8.00","","","Refactor booking page (1-on-1 coaching)"
"2025-06-30","Unknown","5.00","","","Fixed comments on the Graphics page. Worked on new flow for 1to1 coaching. Fixing comments on 1to1 coaching page. Reviewed Addy's new templates."
"2025-06-30","Unknown","0.75","","","With Addy + Mike"
"2025-06-30","Unknown","4.00","","","First time-onboarding"
"2025-06-29","Unknown","4.00","","","Fix issue with the filters such as 'bookmarked'"
